#,Player,Country,Role,Balls,Wickets,Economy,Style,UUID
1566,D Ahir,,Batter,66,3,6.55,,424a646f
1567,Zafer Durmaz,,Batter,66,3,6.82,,755819f4
1568,R Dhiman,,Batter,66,3,6.82,,0d4d3cb1
1569,Jai Sinh,,Batter,66,9,6.73,,10ae134c
1570,P Murungi,,Batter,66,3,6.82,,fbdc5ab1
1571,PV Vuniwaqa,,Batter,66,3,8.27,,653a7fa8
1572,AN Hyobeom,,Batter,66,4,7.09,,8a00eec1
1573,D Polpitiya,,Batter,66,4,7.82,,b7062209
1574,R Thapliyal,,Batter,66,4,8.55,,5947220c
1575,Salvin Stanly,,Batter,66,2,8.36,,a6631b55
1576,L Nyarko,,Batter,66,4,3.55,,c391d077
1577,Imran Ahmed Kaneez,,Batter,66,5,3.82,,8c3cbee9
1578,R Parkin,,Batter,66,2,7.27,,f2c0c73d
1579,E Kuchey,,Batter,66,0,8.64,,5d6064b0
1580,A Desai,,Batter,66,5,6.55,,9c1b1f4b
1581,Ansh Patel,,Batter,66,5,3.09,,9e76cdb3
1582,KMA Aziz,,Batter,66,2,9.09,,e8cfd743
1583,M Badenhorst,,Batter,66,5,8.55,,8a22e5f0
1584,Hassnain Shah,,Batter,66,2,9.18,,7cb931fc
1585,D St Ange,,Batter,66,3,6.09,,ede30898
1586,R Edwards,,Batter,66,4,7.55,,4c5a72e2
1587,A Gupta,,Batter,66,3,7.55,,59e1abef
1588,Madhawa Basnayaka,,Batter,66,5,7.64,,6f337915
1589,Basharat Hussain,,Batter,66,1,9.18,,dcdc9b49
1590,H Kaushik,,Batter,66,2,6.00,,2bfec670
1591,Ajhar Alam,,Batter,66,3,9.55,,b18d78f6
1592,D Svilicic,,Batter,66,1,12.00,,fa83d1b6
1593,A Nel,,Batter,66,3,6.64,,2503e881
1594,G Wijekoon,,Batter,66,2,8.45,,1fbef290
1595,MJ North,,Batter,66,2,7.91,,99464591
1596,A Shahzad,,Batter,66,3,8.73,,a73321d3
1597,MD Bates,,Batter,66,4,9.64,,1b3acd33
1598,H Osinde,,Batter,66,3,8.36,,2b8b75a0
1599,RMS Eranga,,Batter,66,3,7.73,,8f7a598f
1600,NM Carter,,Batter,66,2,8.36,,7805af0f
1601,Shuvagata Hom,,Batter,66,2,6.45,,bb01f9e0
1602,K Goel,,Batter,66,0,8.36,,a1f1829d
1603,DNT Zoysa,,Batter,66,2,8.45,,e0351c86
1604,Y Nagar,,Batter,66,4,10.45,,662c47a6
1605,AP Dole,,Batter,66,5,9.55,,dbc50253
1606,Nauman Ali,,Batter,66,2,7.73,,54c58a5e
1607,AW Summers,,Batter,66,0,7.64,,a35c119e
1608,Mohammad Mohsin,,Batter,66,2,11.55,,79f8472d
1609,PHT Kaushal,,Batter,66,1,9.00,,ef6aea67
1610,I Wijesundera,,Batter,66,4,6.09,,be620896
1611,AAP Atkinson,,Batter,65,6,10.89,,70d57519
1612,AM Rajpurohit,,Batter,65,3,9.69,,06b8bdb3
1613,Ehsan Nawaz,,Batter,64,4,9.00,,70456281
1614,Waseem Muhammad,,Batter,64,3,10.88,,6f02fe2a
1615,LR Butterworth,,Batter,64,4,7.22,,ff6707cc
1616,Riaz Afridi,,Batter,63,3,7.71,,281ce63c
1617,Shakeel Zeb,,Batter,63,5,7.05,,4709e746
1618,Bilal Tahir,,Batter,62,5,5.52,,3cf06094
1619,N Advani,,Batter,62,5,7.06,,e4f6147b
1620,S Nadigotla,,Batter,62,4,6.29,,b78b3ffd
1621,M Mwamadi,,Batter,62,3,6.97,,00029c30
1622,JM Kemp,,Batter,62,3,8.42,,6581d753
1623,A Dizija,,Batter,61,2,11.21,,6483c062
1624,Wang Qi,,Batter,61,4,4.13,,12c9c558
1625,AV Lazarus,,Batter,61,0,6.49,,30c917bf
1626,NA McSweeney,,Batter,61,5,8.07,,e94d2d50
1627,H Masakadza,,Batter,60,2,9.50,,31fbf891
1628,SG Whittingham,,Batter,60,3,7.50,,2d4465da
1629,R Mahajan,,Batter,60,2,9.20,,ea0e8ea2
1630,Inam-ul-Haq,,Batter,60,2,8.20,,15c766c3
1631,TP Allen,,Batter,60,3,11.20,,30baaf1f
1632,NS Dhaliwal,,Batter,60,4,5.80,,cbabd6ad
1633,UKPW Kumaranayaka,,Batter,60,1,6.60,,0d24b1f7
1634,J Liyanage,,Batter,60,1,11.70,,84212ffb
1635,LP Kasturiarachchige,,Batter,60,3,7.90,,82af7861
1636,O Isesele,,Batter,60,1,10.00,,6034840a
1637,Qasim Anwar,,Batter,60,3,5.10,,3852600a
1638,A Andrews,,Batter,60,4,5.90,,1d45c01a
1639,VM Vaghela,,Batter,60,7,3.90,,b6e29ef5
1640,M Spoors,,Batter,60,2,8.40,,da4a1e46
1641,T Kahamker,,Batter,60,7,6.50,,125853c3
1642,Sohail Ahmad,,Batter,60,3,11.60,,7e439c80
1643,T Yotharat,,Batter,60,3,5.20,,1f74f675
1644,A Parima,,Batter,60,5,6.60,,866d3ac8
1645,W Kokaua,,Batter,60,6,8.80,,82a33cac
1646,SG Diaby,,Batter,60,1,4.90,,fe3e9880
1647,S Kamate,,Batter,60,3,8.00,,d7af6207
1648,B Isaac,,Batter,60,0,8.20,,2c14421f
1649,Ismaila Tanba,,Batter,60,3,9.00,,180e2c15
1650,Saeed Ahmed,,Batter,60,3,9.60,,63d6e16e
1651,V Marghashayam,,Batter,60,4,10.20,,0d7e506a
1652,Muhammed Turkmen,,Batter,60,3,6.50,,8e7e982c
1653,Rahman Ademi,,Batter,60,1,7.30,,a9fd6ca3
1654,Mohsin Zaki,,Batter,60,3,7.80,,09c766ec
1655,A Mehmood,,Batter,60,1,10.10,,7cefb2a2
1656,Aakash Chand,,Batter,60,7,7.90,,279c51f0
1657,K Lake,,Batter,60,3,4.10,,20321b0c
1658,Ikbal Hossain,,Batter,60,3,4.90,,e01d2dae
1659,Virendra Kumar,,Batter,60,4,7.00,,20988564
1660,Kamal Raiz,,Batter,60,4,4.30,,b3ba0c35
1661,S Vasilakis,,Batter,60,3,6.60,,e18e9598
1662,P Kotoisuva,,Batter,60,3,6.10,,b3e5205c
1663,ST Yalimaiwai,,Batter,60,4,5.70,,d88f9163
1664,Ramandeep Singh,,Batter,60,7,9.70,,be24ead0
1665,E Frimpong,,Batter,60,4,3.10,,3c13fc3b
1666,LF Muller,,Batter,60,5,6.50,,f6411545
1667,Asim Ashraf,,Batter,60,0,11.20,,ca47f0fb
1668,KY Wilfried,,Batter,60,3,11.30,,5e72608f
1669,S Vaz,,Batter,60,6,6.40,,ad67ab56
1670,R Baruah,,Batter,60,4,8.30,,41b63677
1671,Rupesh Singh,,Batter,60,2,9.10,,30b93df1
1672,Arun Yadav,,Batter,60,5,9.70,,53ace082
1673,K Sathish,,Batter,60,4,7.30,,1cad1601
1674,N Ndzeute,,Batter,60,4,7.80,,63b1093f
1675,J Fernando,,Batter,60,1,9.00,,898a21a4
1676,FC Muniz,,Batter,60,2,5.50,,c9c2a7e8
1677,DR Tuffey,,Batter,60,3,9.20,,43936951
1678,T Henderson,,Batter,60,1,7.10,,0a4ebc61
1679,LN Onyango,,Batter,60,2,11.10,,68c3f79d
1680,LJ Woodcock,,Batter,60,1,7.00,,9ba59a3c
1681,AM Ellis,,Batter,60,2,10.30,,f987245c
1682,Harsh Dubey,,Batter,60,5,9.70,,25228673
1683,RP Kellepotha,,Batter,60,3,7.50,,d13d1dd0
1684,JS Buckingham,,Batter,60,2,9.30,,10735e1d
1685,BE McGain,,Batter,60,2,11.30,,6d62117a
1686,J Glen,,Batter,60,7,5.90,,151c258b
1687,DL Piedt,,Batter,60,2,7.50,,537f5ab2
1688,J Ghadiyali,,Batter,59,4,5.39,,53419aff
1689,H Patel,,Batter,59,2,7.12,,c4ff0618
1690,LA Musiani,,Batter,59,2,7.53,,efbd35a9
1691,NH Ekanayake,,Batter,59,3,5.59,,00c98c78
1692,M Raikes,,Batter,59,3,13.32,,a9b998d9
1693,D Panda,,Batter,59,10,5.69,,bad1af65
1694,ZM Tribe,,Batter,58,3,5.79,,96fe3e9f
1695,Huzaif Yousuf,,Batter,58,1,9.62,,95e47073
1696,Tanveer Ahmed,,Batter,57,2,8.74,,571f11e4
1697,E Isaneez,,Batter,56,1,5.46,,ab591e7d
1698,A Mongar,,Batter,56,6,5.57,,940255af
1699,ND Doshi,,Batter,56,2,8.36,,6ec424a9
1700,B Yadav,,Batter,55,1,9.05,,ef07f354
1701,LG Moras,,Batter,55,0,6.44,,d5dea4e7
1702,SB Joshi,,Batter,55,1,8.95,,670709ec
1703,D Warren,,Batter,55,2,8.07,,ef55b38c
1704,JN Mohammed,,Batter,54,0,7.78,,773cec26
1705,Karweng NG,,Batter,54,0,8.44,,6af3f1e6
1706,P Kerai,,Batter,54,3,8.22,,ab343e93
1707,WJ Malinda,,Batter,54,1,6.78,,8f5313ce
1708,Mohammad Ahsan,,Batter,54,2,10.33,,62474838
1709,NR Kirton,,Batter,54,4,10.78,,6b75c2b1
1710,G Mubiru,,Batter,54,4,5.33,,732ce0c2
1711,J Jagroo,,Batter,54,1,7.56,,a0a27cd4
1712,DC Thomas,,Batter,54,4,10.56,,08a4f9ad
1713,Tasaduq Hussain,,Batter,54,2,6.56,,f62fa324
1714,B Jerkovic,,Batter,54,4,10.56,,63bd7086
1715,G Fatouros,,Batter,54,3,6.78,,b388d623
1716,NL Ujawe,,Batter,54,3,6.44,,7c7c4988
1717,IW Budiarta,,Batter,54,2,5.56,,27320242
1718,Anik Ahmed,,Batter,54,2,8.11,,ccda520f
1719,MS Diawara,,Batter,54,3,7.67,,8c95e2dd
1720,Mohammed Alamgir,,Batter,54,3,7.67,,e0f12392
1721,Pargat Singh,,Batter,54,3,9.56,,d2e67105
1722,V Hampihallikar,,Batter,54,0,10.78,,241a104c
1723,JE Scott,,Batter,54,2,6.11,,732c9016
1724,Chaudhary Akram,,Batter,54,5,6.89,,3e697d4a
1725,Naseem Khan,,Batter,54,2,9.22,,cfbd3998
1726,Isa Zaroo,,Batter,54,4,9.44,,9822fb85
1727,C Outerbridge,,Batter,54,4,5.22,,ff722bc8
1728,TO Thilappan,,Batter,54,1,9.00,,44482748
1729,Manish Sharma,,Batter,54,3,8.00,,5473ec6f
1730,WSLK Narayana,,Batter,54,1,7.00,,4d21a67a
1731,Serdar Burak Emir,,Batter,54,1,12.56,,6d9238ac
1732,PS Roberts,,Batter,54,1,6.00,,fd43bb69
1733,VRB Arachchige,,Batter,54,2,9.00,,70e1b3a8
1734,LJ Leokaoke,,Batter,54,1,6.11,,456884dd
1735,AA Paradkar,,Batter,54,4,7.67,,96f5b685
1736,LKW Ezechiel,,Batter,54,0,11.78,,f80bd415
1737,M Turner,,Batter,54,2,3.89,,27847fec
1738,Syed Ali Gillani,,Batter,54,3,8.22,,1ee9a0f6
1739,T Makaya,,Batter,54,2,5.78,,e3f53051
1740,H Beresford-Peirse,,Batter,54,2,9.67,,30291c08
1741,C Bevin,,Batter,54,2,9.00,,1e3db5f4
1742,N Hirani,,Batter,54,5,6.56,,4d290e7a
1743,Shariq Munir,,Batter,54,0,8.44,,298d9b83
1744,Rahat Kazi,,Batter,54,1,8.33,,d4bebd88
1745,D Nanda,,Batter,54,4,2.22,,22651574
1746,MJ Mason,,Batter,54,2,6.78,,aab3e7be
1747,Raza-ur-Rehman,,Batter,54,2,6.44,,d146924b
1748,MS Aulakh,,Batter,54,3,7.89,,c4d28aa3
1749,Zaheer Maqsood,,Batter,54,1,8.89,,52e8dd6b
1750,K Yadav,,Batter,54,2,9.33,,030f3089
1751,K Upadhyay,,Batter,54,0,8.78,,27e71d47
1752,Kamran Ghulam,,Batter,54,1,8.33,,35f4cf7e
1753,Shahid Aziz,,Batter,54,5,8.33,,8d964ae6
1754,MW Edwards,,Batter,54,2,9.11,,5f222a64
1755,JM James,,Batter,54,2,6.56,,24f6e254
1756,J Layne,,Batter,54,0,12.22,,2f43ee81
1757,M Govia,,Batter,54,2,8.89,,4ef73fb3
1758,D Potgieter,,Batter,54,4,8.56,,60fbf53a
1759,A Mnyaka,,Batter,54,3,8.11,,bd36db2c
1760,Walid Ghauri,,Batter,53,2,7.70,,331e137f
1761,S Gasteratos,,Batter,53,5,4.64,,11174f6d
1762,Atif Rasheed,,Batter,53,5,7.02,,c7726eec
1763,S Jamil,,Batter,52,2,9.35,,3d6617c6
1764,D Nikolov,,Batter,52,0,9.92,,9c3a8776
1765,Amir Zaib,,Batter,52,4,8.42,,973006cc
1766,Sana Ullah,,Batter,52,2,7.27,,bc02b37a
1767,Yahya Suhail,,Batter,52,2,7.96,,d1f14716
1768,Kamran Shazad,,Batter,52,2,8.31,,75186c24
1769,Naman Dhir,,Batter,52,0,8.65,,fffa744b
1770,Tauqeer Hussain,,Batter,51,4,5.65,,84d0b84c
1771,Deng Jinqi,,Batter,51,2,7.76,,871cf744
1772,SR Tendulkar,,Batter,51,1,8.12,,d2c2b2d5
1773,RN Patel,,Batter,50,7,6.12,,db1bf9c2
1774,Sai Hla Htwe,,Batter,50,3,5.88,,740d29d5
1775,GH Worker,,Batter,50,3,9.12,,51a36d3e
1776,TE Kane,,Batter,49,4,7.84,,af28816c
1777,Rhys Burinaga,,Batter,49,6,7.10,,a6cbe67b
1778,MC Alex,,Batter,49,0,8.69,,3a200eb2
1779,Sajid Khan,,Batter,49,1,8.57,,54909313
1780,MS Crane,,Batter,48,1,7.75,,f0a0204e
1781,CA Lynn,,Batter,48,3,6.50,,45eda7c8
1782,S Dhawan,,Batter,48,4,8.12,,0a476045
1783,CC Blake,,Batter,48,1,5.62,,e91933cb
1784,EH Hutchinson,,Batter,48,2,3.62,,e6ddab51
1785,MJ Ross,,Batter,48,2,7.62,,d1c7dd6d
1786,JWN Moses,,Batter,48,0,5.50,,492c17f0
1787,Hayatullah Niazi,,Batter,48,2,6.38,,877ad201
1788,Ahmed Hassan,,Batter,48,3,5.38,,7c885103
1789,NMS Param,,Batter,48,2,6.75,,270b4de6
1790,AS Abioye,,Batter,48,3,8.50,,51e0e79f
1791,MO Bacarese,,Batter,48,1,3.88,,486f252b
1792,Waqar Abbasi,,Batter,48,2,5.62,,9e287ee3
1793,D Myers,,Batter,48,0,11.75,,d96165b5
1794,T Stubbs,,Batter,48,4,12.75,,85b3fab2
1795,VL Mukesh,,Batter,48,0,8.00,,44744467
1796,R Nil,,Batter,48,1,7.38,,b0f9dac4
1797,Imran Arif,,Batter,48,3,7.25,,c10747c3
1798,Sandeep Nair,,Batter,48,2,7.75,,6ceec40d
1799,Sabir Ali,,Batter,48,3,8.12,,2a04400b
1800,JD Baker,,Batter,48,1,7.50,,10f7b52b
1801,G Johnson,,Batter,48,1,6.50,,ceec82cd
1802,E Walker,,Batter,48,1,8.88,,b312a9c1
1803,Suman Ghimire,,Batter,48,2,8.25,,7d990412
1804,FN Walsh,,Batter,48,5,10.38,,da738783
1805,SA Engelbrecht,,Batter,48,5,8.75,,81a0e294
1806,JA Burns,,Batter,48,3,7.00,,7a5f232a
1807,Zain Ali,,Batter,48,4,5.25,,cccac242
1808,Baseer Khan,,Batter,48,5,4.00,,75ebfe19
1809,Ibrahim Kursad Dalyan,,Batter,48,1,7.12,,f0f20cf8
1810,S Simpson,,Batter,48,6,5.38,,c8ea9add
1811,Samader Shadab,,Batter,48,3,9.12,,4289ccc9
1812,PK Dimitri,,Batter,48,1,9.50,,7e665859
1813,P Jayeshbhai Patel,,Batter,48,0,5.75,,3317dc7a
1814,JS Iggo,,Batter,48,2,8.50,,6af31962
1815,Natim Hassam,,Batter,48,2,7.12,,c802af1c
1816,I Stewart,,Batter,48,4,8.38,,568fe66e
1817,Esam Rahman,,Batter,48,0,10.38,,5ea3a7c6
1818,Raihan Hossain,,Batter,48,1,7.25,,3f05c34d
1819,CL Cairns,,Batter,48,1,6.50,,0b130202
1820,AJ Hall,,Batter,48,3,7.38,,6b0c3a20
1821,R Telemachus,,Batter,48,1,8.00,,543b4a1f
1822,Iftikhar Anjum,,Batter,48,1,8.38,,6adf9347
1823,LS Baker,,Batter,48,2,7.00,,441b1b20
1824,M Vijay,,Batter,48,0,7.12,,4b57e452
1825,PL Mommsen,,Batter,48,1,5.25,,a56f4b65
1826,G Goudie,,Batter,48,1,8.62,,59f509ed
1827,Amir Ali,,Batter,48,1,6.88,,3748955d
1828,D Kalyankrishna,,Batter,48,2,10.62,,94bc776b
1829,C Nanda,,Batter,48,2,6.88,,f24ca2ba
1830,Ahmed Safi Abdullah,,Batter,48,4,8.12,,fb23118c
1831,Athar Mahmood,,Batter,48,0,6.12,,55d3d4e8
1832,Ali Majid,,Batter,48,2,7.50,,0e9b0f64
1833,Ahsan Hafeez,,Batter,48,3,9.75,,86229495
1834,Faisal Akram,,Batter,48,2,8.12,,14661bf3
1835,Zia-ul-Haq,,Batter,48,3,7.88,,99c81226
1836,Ashar Zaidi,,Batter,48,0,7.38,,9bab2b81
1837,DMK Grant,,Batter,48,3,6.00,,5390f178
1838,MJJ Critchley,,Batter,48,2,9.38,,c5cc48bc
1839,C Stow,,Batter,48,3,7.75,,3f9ec1d2
1840,M Bean,,Batter,48,2,9.12,,d0eb7868
1841,BG Drew,,Batter,48,2,7.12,,751f4b9b
1842,DR Salpietro,,Batter,48,1,8.12,,a6ae5f7f
1843,AR Beadle,,Batter,48,1,7.62,,bb1c1950
1844,Akeem Jordan,,Batter,48,5,9.38,,77bf0483
1845,M Clarke,,Batter,48,0,11.50,,a4ff3629
1846,M Shiraz,,Batter,48,2,10.38,,cdac5a3d
1847,DS Thilakaratne,,Batter,48,4,8.50,,a2198010
1848,G Mahlokwana,,Batter,48,4,8.38,,d92d8446
1849,MD Garratt,,Batter,47,2,7.79,,aa4154ad
1850,Danish Aziz,,Batter,47,2,10.47,,a4799701
1851,V Jayant,,Batter,47,1,8.55,,6535cc7b
1852,Qasim Akram,,Batter,47,3,7.15,,b6359668
1853,Ethan D'Souza,,Batter,47,5,6.51,,31ca7a9c
1854,SC Meaker,,Batter,47,2,7.53,,eb9cb105
1855,D Salunkhe,,Batter,47,1,8.81,,0264c10e
1856,EL Hawken,,Batter,47,1,8.04,,a0936692
1857,N Pathan,,Batter,46,3,9.78,,25bc2d36
1858,AJ Michael,,Batter,46,2,6.78,,d68f4aa1
1859,J Henry,,Batter,46,2,8.22,,68e7e8d5
1860,MG Hunter,,Batter,45,3,5.47,,f08adc01
1861,ML Lewis,,Batter,45,4,6.53,,8b8745fd
1862,KTGD Prasad,,Batter,45,1,12.13,,9b79b9de
1863,JM Herrick,,Batter,45,0,7.73,,44ec8c4a
1864,JEA Doctora,,Batter,44,3,8.05,,43449b1e
1865,Paras Singh,,Batter,44,2,9.00,,014da3d8
1866,RL Bhudia,,Batter,44,0,10.36,,47d00fb5
1867,ST de Silva,,Batter,44,3,10.64,,54ef649e
1868,K Pitman,,Batter,44,3,9.27,,88b4d220
1869,Ahmed Faiz,,Batter,43,1,5.58,,f6b4f746
1870,Z McLaughlin,,Batter,43,2,7.53,,679302a1
1871,M Fontaine,,Batter,43,3,6.42,,1339f52a
1872,M Campopiano,,Batter,43,2,5.58,,26d80a9d
1873,CA Keita,,Batter,43,4,6.98,,5b9b8d98
1874,SK Gedara,,Batter,43,3,8.37,,84c5c2f2
1875,Nazmul Huda,,Batter,43,3,7.53,,837be376
1876,Salman Patel,,Batter,43,2,9.07,,4909a5f6
1877,Hammad Azam,,Batter,43,0,10.74,,57bd3ecc
1878,H Klaasen,,Batter,42,1,9.71,,235c2bb6
1879,Sikander Zulfiqar,,Batter,42,2,8.00,,3b572f28
1880,RG Mukasa,,Batter,42,0,5.71,,011f6b42
1881,S Saeed,,Batter,42,1,7.57,,25ef10a2
1882,JJ Tucker,,Batter,42,1,8.14,,bceb1b07
1883,PD Hennessy,,Batter,42,3,6.14,,a3b9191a
1884,K Dorji,,Batter,42,2,9.00,,f9b9883f
1885,Imran Butt,,Batter,42,3,9.29,,cc3fb3b3
1886,P Masih,,Batter,42,2,3.57,,796ffb22
1887,JL de Mey,,Batter,42,1,9.00,,c9f851b0
1888,A Manousis,,Batter,42,2,7.00,,b672e825
1889,Arsalan Ahmed,,Batter,42,2,9.57,,e0febd97
1890,H Dandapani,,Batter,42,2,8.43,,9960a421
1891,KD Mehta,,Batter,42,4,5.71,,a18461a2
1892,C Pervez,,Batter,42,3,6.86,,7bf34437
1893,JT Darrell,,Batter,42,3,3.00,,69649715
1894,Aryan Lakra,,Batter,42,2,6.57,,099135ad
1895,G Axtell,,Batter,42,1,5.71,,e6a7c6e2
1896,Saran Aslam,,Batter,42,2,6.57,,2a00735b
1897,Jitesh Patel,,Batter,42,1,7.71,,a2f790a8
1898,VM Nyauchi,,Batter,42,3,8.71,,1bd16445
1899,AUKDS Kalugala,,Batter,42,2,6.29,,e2d1822f
1900,Shamsullah Ehsan,,Batter,42,3,8.86,,356bf068
1901,N Davidovic,,Batter,42,4,7.14,,e48c6ec7
1902,KK Dobell,,Batter,42,3,5.00,,d792374d
1903,J van Heerden,,Batter,42,4,6.43,,01549705
1904,IP Swaney,,Batter,42,2,14.14,,430b7399
1905,Assad Mehmood,,Batter,42,1,3.43,,71b1e668
1906,Shahzeb Choudhry,,Batter,42,2,3.57,,43f3c050
1907,MM Siddique,,Batter,42,3,4.14,,48024cf4
1908,R Mondol,,Batter,42,4,8.43,,492ff0c2
1909,Umair Sharif,,Batter,42,1,9.00,,a19db58e
1910,Khalander Mustafa,,Batter,42,4,6.86,,df6534ac
1911,GJ van Rensburg,,Batter,42,2,7.57,,602db3d9
1912,TZ Chataira,,Batter,42,5,6.00,,2e4d5f94
1913,Aarnav Patel,,Batter,42,3,6.86,,b66201dd
1914,Merwais Shinwari,,Batter,42,3,7.86,,6755b6c7
1915,Sinan Khan,,Batter,42,3,9.00,,251eb801
1916,Sajid Khan Afridi,,Batter,42,1,9.86,,edc950ce
1917,L Monanthane,,Batter,42,1,5.43,,07e5bda2
1918,Altaf Gill,,Batter,42,2,8.14,,b9b194d6
1919,A Busing-Volschenk,,Batter,42,4,7.57,,e9e37173
1920,J Thomas,,Batter,42,1,5.29,,11b785d6
1921,J Baker,,Batter,42,3,8.14,,a12672e0
1922,T Mpatane,,Batter,42,2,8.86,,e1846e12
1923,O Sam Arthur,,Batter,42,2,6.29,,11c35bf1
1924,S Hunter,,Batter,42,0,5.71,,aac584a8
1925,KR Jha,,Batter,42,4,6.29,,9bdb9aa9
1926,A Gulati,,Batter,42,2,11.86,,82903f3a
1927,Z Motara,,Batter,42,1,11.14,,e796c63a
1928,Saurabh Kumar,,Batter,42,1,11.71,,afb1e61d
1929,C Shivakumar,,Batter,42,0,9.14,,a02a0e07
1930,MJ Tugaga,,Batter,42,0,5.43,,526a1047
1931,Aqif Farooq,,Batter,42,2,8.57,,16d52916
1932,Ugyen Dorji,,Batter,42,1,6.71,,ffb65f46
1933,MS Kasprowicz,,Batter,42,5,8.00,,8d0ea930
1934,J Lewis,,Batter,42,4,7.86,,6c75310b
1935,PDRL Perera,,Batter,42,0,10.14,,f6b5d11a
1936,RR Watson,,Batter,42,3,8.00,,a670d624
1937,GB Brent,,Batter,42,2,7.29,,da785bf8
1938,J Louw,,Batter,42,2,6.86,,9c1ccdea
1939,KO Meth,,Batter,42,0,8.43,,9fbc7bc4
1940,MK Tiwary,,Batter,42,1,11.14,,26e5cabf
1941,A Martin,,Batter,42,1,6.57,,3cacbb57
1942,H Davids,,Batter,42,1,7.43,,9c9f8dbc
1943,EHSN Silva,,Batter,42,2,8.29,,7572bf45
1944,L Nou,,Batter,42,1,5.57,,9f500ddb
1945,MB van Schelven,,Batter,42,3,4.29,,aef2982e
1946,GH Vihari,,Batter,42,1,6.57,,94253925
1947,M Manhas,,Batter,42,0,6.00,,c42aaf71
1948,D du Preez,,Batter,42,4,7.57,,d7a57f75
1949,L Ablish,,Batter,42,3,10.29,,8b9704ae
1950,Abdul Nasir,,Batter,42,1,5.86,,494a0503
1951,Muhammad Faizan,,Batter,42,3,10.14,,1574f3fe
1952,Arish Ali,,Batter,42,4,9.00,,1e9b3b23
1953,Ashir Qureshi,,Batter,42,1,8.71,,ed54033c
1954,Saad Masood,,Batter,42,1,9.71,,b2498b5d
1955,Aftab Ibrahim,,Batter,42,3,8.43,,8d42cee6
1956,GA West,,Batter,42,2,11.43,,9dfd54a5
1957,SM Elliott,,Batter,42,0,8.57,,00cda8e4
1958,IA Moran,,Batter,42,2,9.29,,5ce5204c
1959,SA Lewis,,Batter,42,1,7.57,,30f4ac6f
1960,AM Ghazanfar,,Batter,42,2,6.43,,9ca68676
1961,K Anjula,,Batter,42,0,12.57,,363e36a7
1962,ND Paranavithana,,Batter,42,1,6.86,,4e602f29
1963,M Tharupathi,,Batter,42,1,8.86,,ec0b9258
1964,O Nyaku,,Batter,42,2,8.00,,9b442f95
1965,RAJ Smith,,Batter,41,0,9.51,,6daf5e8c
1966,C Zavoiu,,Batter,41,3,8.49,,6b96bebf
1967,Mohamed Coulibaly,,Batter,41,2,8.63,,86ea6123
1968,AE Isesele,,Batter,41,4,9.07,,5249f9c4
1969,Irfan Safi,,Batter,41,3,9.22,,6c53ffb2
1970,D Gough,,Batter,41,3,6.88,,fcbf5a30
1971,NJ Astle,,Batter,41,4,7.32,,99639abf
1972,Waleed Rana,,Batter,40,3,7.95,,c4281e43
1973,V Ravindran,,Batter,40,4,3.00,,e5ecb1ef
1974,V Zanko,,Batter,40,3,7.65,,4a78f962
1975,Hamid Safi,,Batter,40,4,10.80,,ec4ae12d
1976,TL Chivanga,,Batter,39,0,9.08,,61fb296e
1977,K Macheka,,Batter,39,4,6.92,,9124e5ee
1978,Ibrar Ahmad,,Batter,39,6,7.54,,9dc8bc5c
1979,SJ Harmison,,Batter,39,1,6.00,,c16d2e28
1980,RLB Rambukwella,,Batter,39,1,7.08,,5a892f36
1981,AUK Pathan,,Batter,39,0,8.77,,3ae3f034
1982,I Tchakou,,Batter,38,4,6.79,,4d2b96b4
1983,A Denuwan,,Batter,38,1,7.42,,96912eac
1984,Salman Fayyaz,,Batter,38,2,9.16,,73cbe848
1985,DV Devjani Mutreja,,Batter,37,4,7.46,,c872d657
1986,AO Suji,,Batter,37,0,6.97,,b15eaf77
1987,AK Kitchen,,Batter,36,2,7.50,,63a1874a
1988,J Nyumbu,,Batter,36,0,12.67,,024a173d
1989,Ashfaq Ahmed,,Batter,36,2,5.33,,9d1f42c6
1990,J Hill,,Batter,36,3,8.17,,5481bd91
1991,Vimal Kumar,,Batter,36,0,11.17,,b6a85ead
1992,D Gim,,Batter,36,2,10.83,,3a1c34e6
1993,Ali Naqi,,Batter,36,0,6.50,,7db29f25
1994,T Singye,,Batter,36,1,9.00,,e454c356
1995,Muhammad Ansar,,Batter,36,3,9.00,,83f59aa3
1996,K Mendon,,Batter,36,1,5.00,,015dc0cd
1997,Gurdeep Singh,,Batter,36,2,9.50,,31865a5b
1998,Ashraful Shuvo,,Batter,36,0,6.67,,9bb259b4
1999,AM Tribe,,Batter,36,0,5.17,,86f84b37
2000,Sarfaraj Patel,,Batter,36,3,5.83,,f15d17c7
2001,R Agamiire,,Batter,36,1,1.33,,43ae7b1c
2002,VE Tembo,,Batter,36,1,12.50,,1439a13c
2003,ZR Jaboneke,,Batter,36,1,3.83,,438aef39
2004,S Ogundipe,,Batter,36,1,4.00,,bbd365ad
2005,GG Banner,,Batter,36,3,7.83,,aeb893b4
2006,TO Carmichael,,Batter,36,0,7.00,,a9a76481
2007,M Jenkinson,,Batter,36,2,8.33,,68f7caf9
2008,S Biko,,Batter,36,1,5.50,,b501b61e
2009,T Shanmugam,,Batter,36,1,5.83,,60fc2c8c
2010,STRA de Silva,,Batter,36,0,12.00,,21fe743b
2011,Mohamed Khan,,Batter,36,3,6.17,,13501ff4
