cricsheet_key,country,status,candidates,reason
"GE Gutierrez Chavez",Mexico,not_found,0,"no search results"
"Harprit Singh",Mexico,not_found,0,"no candidate survived filtering"
"KB Patil",Mexico,not_found,0,"no candidate survived filtering"
"LK Sharma",Mexico,not_found,0,"no candidate survived filtering"
"PK Mohanarangam",Mexico,not_found,0,"no search results"
"Pratik Singh Bais",Mexico,not_found,0,"no search results"
"Praveen Santhanakrishnan",Mexico,not_found,0,"no search results"
"R Poojary",Mexico,not_found,0,"no candidate survived filtering"
"S Elayaperumal",Mexico,not_found,0,"no candidate survived filtering"
"Seetharam Guruvayoorappan",Mexico,not_found,0,"no search results"
"Shoaib Rafiq",Mexico,not_found,0,"no candidate survived filtering"
"Y Jasti",Mexico,not_found,0,"no search results"
"B Namsrai",Mongolia,not_found,0,"no candidate survived filtering"
"D Jamyansuren",Mongolia,not_found,0,"no search results"
"E Munkhbat",Mongolia,not_found,0,"no search results"
"M Altankhuyag",Mongolia,not_found,0,"no search results"
"T Sumiya",Mongolia,not_found,0,"no search results"
"T Tumursukh",Mongolia,not_found,0,"no candidate survived filtering"
"F Damiao Couana",Mozambique,not_found,0,"no search results"
"FFZ Nhaduate",Mozambique,not_found,0,"no search results"
"JJ Huo",Mozambique,not_found,0,"no candidate survived filtering"
"MF Manjate",Mozambique,not_found,0,"no search results"
"N Ndzeute",Mozambique,not_found,0,"no candidate survived filtering"
"Nyeing Cham Soe",Myanmar,not_found,0,"no candidate survived filtering"
"HN Ya France",Namibia,not_found,0,"no candidate survived filtering"
"SPS Shikongo",Namibia,not_found,0,"no candidate survived filtering"
"MB van Schelven",Netherlands,not_found,0,"no candidate survived filtering"
"MJ Ackerman",Netherlands,not_found,0,"no candidate survived filtering"
"MJG Rippon",Netherlands,not_found,0,"no candidate survived filtering"
"RI Ahmed",Netherlands,not_found,0,"no candidate survived filtering"
"C le Roux","New Zealand",not_found,0,"no candidate survived filtering"
"JK Fuller","New Zealand",not_found,0,"no candidate survived filtering"
"K Campbell","New Zealand",not_found,0,"no candidate survived filtering"
"R Hadley","New Zealand",not_found,0,"no candidate survived filtering"
"RR Pawson","New Zealand",not_found,0,"no candidate survived filtering"
"TC Bruce","New Zealand",not_found,0,"no candidate survived filtering"
"W O'Rourke","New Zealand",not_found,0,"no candidate survived filtering"
"AM Oyede",Nigeria,not_found,0,"no candidate survived filtering"
"JO Adedeji",Nigeria,not_found,0,"no candidate survived filtering"
"S Chilemanya",Nigeria,not_found,0,"no candidate survived filtering"
"S Mba",Nigeria,not_found,0,"no candidate survived filtering"
"A Gupta",Norway,not_found,0,"no candidate survived filtering"
"D Abeyrathna",Norway,not_found,0,"no candidate survived filtering"
"M Shahbaz Butt",Norway,not_found,0,"no candidate survived filtering"
"S Waqas Ahmed",Norway,not_found,0,"no candidate survived filtering"
"A Poulose",Oman,not_found,0,"no candidate survived filtering"
"Ayan Khan",Oman,not_found,0,"no candidate survived filtering"
"B Siddharth",Oman,not_found,0,"no candidate survived filtering"
"Aamer Azmat",Pakistan,not_found,0,"no candidate survived filtering"
"Agha Salman",Pakistan,not_found,0,"no candidate survived filtering"
"Ali Shafiq",Pakistan,not_found,0,"no candidate survived filtering"
"Arish Ali",Pakistan,not_found,0,"no candidate survived filtering"
"Ehsan Adil",Pakistan,not_found,0,"no candidate survived filtering"
"Hassan Nawaz",Pakistan,not_found,0,"no candidate survived filtering"
Inzamam-ul-Haq,Pakistan,not_found,0,"no candidate survived filtering"
"K Gaston",Pakistan,not_found,0,"no candidate survived filtering"
"K Goel",Pakistan,not_found,0,"no candidate survived filtering"
"LM Edward",Pakistan,not_found,0,"no candidate survived filtering"
"M Govia",Pakistan,not_found,0,"no candidate survived filtering"
"M Shiraz",Pakistan,not_found,0,"no candidate survived filtering"
"Mohammad Huraira",Pakistan,not_found,0,"no candidate survived filtering"
"Muhammad Faizan",Pakistan,not_found,0,"no candidate survived filtering"
"N Saini",Pakistan,not_found,0,"no candidate survived filtering"
"Nauman Ali",Pakistan,not_found,0,"no candidate survived filtering"
"Nauman Anwar",Pakistan,not_found,0,"no candidate survived filtering"
"PHT Kaushal",Pakistan,not_found,0,"no candidate survived filtering"
"PTM Dabare",Pakistan,not_found,0,"no candidate survived filtering"
"RA Bawa",Pakistan,not_found,0,"no candidate survived filtering"
"S Descarte",Pakistan,not_found,0,"no candidate survived filtering"
"S Lakshan",Pakistan,not_found,0,"no candidate survived filtering"
"Saif Badar",Pakistan,not_found,0,"no candidate survived filtering"
"Shahid Yousuf",Pakistan,not_found,0,"no candidate survived filtering"
"Shahnawaz Dhani",Pakistan,not_found,0,"no candidate survived filtering"
"Shoaib Khan jnr",Pakistan,not_found,0,"no search results"
"Sufiyan Muqeem",Pakistan,not_found,0,"no search results"
"Sunny Singh",Pakistan,not_found,0,"no candidate survived filtering"
"W Sahan",Pakistan,not_found,0,"no candidate survived filtering"
"WA Mota",Pakistan,not_found,0,"no candidate survived filtering"
"Breeze Ahir",Panama,not_found,0,"no candidate survived filtering"
"D Ahir",Panama,not_found,0,"no candidate survived filtering"
"FL Patel",Panama,not_found,0,"no candidate survived filtering"
"HJ Patel",Panama,not_found,0,"no candidate survived filtering"
"IIR Bhana",Panama,not_found,0,"no candidate survived filtering"
"Khandubhai Ahir",Panama,not_found,0,"no candidate survived filtering"
"LR Gaonkar",Panama,not_found,0,"no candidate survived filtering"
"MY Bawa",Panama,not_found,0,"no candidate survived filtering"
"Ronitkumar Ahir",Panama,not_found,0,"no candidate survived filtering"
"Safvan Patel",Panama,not_found,0,"no candidate survived filtering"
"DC Smith",Philippines,not_found,0,"no candidate survived filtering"
"J Alegra",Philippines,not_found,0,"no search results"
"J Hill",Philippines,not_found,0,"no candidate survived filtering"
"J Tuffin",Philippines,not_found,0,"no search results"
"Kulwinderjeet Singh",Philippines,not_found,0,"no candidate survived filtering"
"Muzammil Shahzad",Philippines,not_found,0,"no candidate survived filtering"
"N Tanner",Philippines,not_found,0,"no search results"
"S Mohan",Philippines,not_found,0,"no candidate survived filtering"
"C Nunes",Portugal,not_found,0,"no search results"
"H Khuttan",Portugal,not_found,0,"no search results"
Kuldeep,Portugal,not_found,0,"no candidate survived filtering"
"Mian Mehmood",Portugal,not_found,0,"no candidate survived filtering"
"Sirajullah Khadim",Portugal,not_found,0,"no candidate survived filtering"
"Arif Nasir Uddin",Qatar,not_found,0,"no search results"
"Bipin Kumar",Qatar,not_found,0,"no candidate survived filtering"
"Bukhar Illikkal",Qatar,not_found,0,"no search results"
"Mohammad Abrar",Qatar,not_found,0,"no candidate survived filtering"
"Mohammad Ahnaff",Qatar,not_found,0,"no search results"
"Mohammad Rizlan",Qatar,not_found,0,"no candidate survived filtering"
"Mohammed Aslam",Qatar,not_found,0,"no candidate survived filtering"
"Mohammed Awais",Qatar,not_found,0,"no candidate survived filtering"
"Mohammed Irshad",Qatar,not_found,0,"no candidate survived filtering"
"Muhammad Jabir",Qatar,not_found,0,"no candidate survived filtering"
"P Gopalkrishnan",Qatar,not_found,0,"no search results"
"R Theruvath",Qatar,not_found,0,"no search results"
"Shahzaib Jamil",Qatar,not_found,0,"no candidate survived filtering"
"Shakkir Kassim",Qatar,not_found,0,"no candidate survived filtering"
"Shariq Munir",Qatar,not_found,0,"no candidate survived filtering"
"AN Lascu",Romania,not_found,0,"no search results"
"J Fernando",Romania,not_found,0,"no candidate survived filtering"
"L Gharasim",Romania,not_found,0,"no search results"
"R Kumar",Romania,not_found,0,"no candidate survived filtering"
"Babar Ali",Rwanda,not_found,0,"no candidate survived filtering"
"C Rububagumya",Rwanda,not_found,0,"no search results"
"Muhammad Nadir",Rwanda,not_found,0,"no candidate survived filtering"
"RJ Pierre",Rwanda,not_found,0,"no candidate survived filtering"
"V Mitari",Rwanda,not_found,0,"no candidate survived filtering"
"AJ Michael",Samoa,not_found,0,"no candidate survived filtering"
"DP Michael",Samoa,not_found,0,"no candidate survived filtering"
"MJ Tugaga",Samoa,not_found,0,"no candidate survived filtering"
"SM Nash",Samoa,not_found,0,"no candidate survived filtering"
"T Kaisala",Samoa,not_found,0,"no candidate survived filtering"
"Abdul Salman Khan","Saudi Arabia",not_found,0,"no candidate survived filtering"
"Choudhry Md Imran","Saudi Arabia",not_found,0,"no search results"
"Ghayour Ahmad","Saudi Arabia",not_found,0,"no candidate survived filtering"
"Hisham Sheikh","Saudi Arabia",not_found,0,"no candidate survived filtering"
"Kashif Abbas","Saudi Arabia",not_found,0,"no candidate survived filtering"
"Khalander Mustafa","Saudi Arabia",not_found,0,"no candidate survived filtering"
Shahzaib,"Saudi Arabia",not_found,0,"no candidate survived filtering"
"Umair Sharif","Saudi Arabia",not_found,0,"no candidate survived filtering"
"Zuber Sunasara","Saudi Arabia",not_found,0,"no search results"
"Zuhair Muhammad","Saudi Arabia",not_found,0,"no candidate survived filtering"
"CJO Smith",Scotland,not_found,0,"no candidate survived filtering"
"DR Brown",Scotland,not_found,0,"no candidate survived filtering"
"G Miller",Scotland,not_found,0,"no candidate survived filtering"
"GM Thomson",Scotland,not_found,0,"no candidate survived filtering"
"I Wardlaw",Scotland,not_found,0,"no candidate survived filtering"
"IA Moran",Scotland,not_found,0,"no candidate survived filtering"
"MM Iqbal",Scotland,not_found,0,"no candidate survived filtering"
"MW Machan",Scotland,not_found,0,"no candidate survived filtering"
"NM Carter",Scotland,not_found,0,"no candidate survived filtering"
"RM Haq",Scotland,not_found,0,"no candidate survived filtering"
"RML Taylor",Scotland,not_found,0,"no candidate survived filtering"
"SJS Smith",Scotland,not_found,0,"no candidate survived filtering"
"P Nedeljkovic",Serbia,not_found,0,"no search results"
"S Savkovic",Serbia,not_found,0,"no search results"
"Sachin Ganpat Shinde",Serbia,not_found,0,"no search results"
"N Krishna",Seychelles,not_found,0,"no candidate survived filtering"
"S Rana",Seychelles,not_found,0,"no candidate survived filtering"
"STRA de Silva",Seychelles,not_found,0,"no candidate survived filtering"
"YC Latouche",Seychelles,not_found,0,"no search results"
"B Williams","Sierra Leone",not_found,0,"no candidate survived filtering"
"S Williams","Sierra Leone",not_found,0,"no candidate survived filtering"
"A Chaudhary",Singapore,not_found,0,"no candidate survived filtering"
"A Krishna",Singapore,not_found,0,"no candidate survived filtering"
"H Bharadwaj",Singapore,not_found,0,"no candidate survived filtering"
"IP Swaney",Singapore,not_found,0,"no search results"
"R Rohan",Singapore,not_found,0,"no candidate survived filtering"
"R Sharma",Singapore,not_found,0,"no candidate survived filtering"
"R Sheshadri",Singapore,not_found,0,"no search results"
"S Banamali",Singapore,not_found,0,"no search results"
"S Vijayakumar",Singapore,not_found,0,"no candidate survived filtering"
"SA Pradhan",Singapore,not_found,0,"no candidate survived filtering"
"TO Thilappan",Singapore,not_found,0,"no search results"
"U Aryaman Sunil",Singapore,not_found,0,"no candidate survived filtering"
"Dayal Joy",Slovenia,not_found,0,"no candidate survived filtering"
"KK Sharma",Slovenia,not_found,0,"no candidate survived filtering"
"MH Oman",Slovenia,not_found,0,"no candidate survived filtering"
"Muhammad Siddiqui",Slovenia,not_found,0,"no candidate survived filtering"
"Taher Muhammad",Slovenia,not_found,0,"no candidate survived filtering"
"AQM Yako","South Africa",not_found,0,"no candidate survived filtering"
"CS Sandri","South Africa",not_found,0,"no candidate survived filtering"
"D Wiese","South Africa",not_found,0,"no candidate survived filtering"
"HH Dippenaar","South Africa",not_found,0,"no candidate survived filtering"
"J Seymour","South Africa",not_found,0,"no candidate survived filtering"
"J Theron","South Africa",not_found,0,"no candidate survived filtering"
"JT Smuts","South Africa",not_found,0,"no candidate survived filtering"
"M Joseph","South Africa",not_found,0,"no candidate survived filtering"
"RA Herman","South Africa",not_found,0,"no candidate survived filtering"
"RE van der Merwe","South Africa",not_found,0,"no candidate survived filtering"
"YA Abdulla","South Africa",not_found,0,"no candidate survived filtering"
"Z Motara","South Africa",not_found,0,"no candidate survived filtering"
"Z Pongolo","South Africa",not_found,0,"no candidate survived filtering"
"Hwanhee Lee","South Korea",not_found,0,"no candidate survived filtering"
"Mudassir Iqbal","South Korea",not_found,0,"no candidate survived filtering"
"A Davidson Soler",Spain,not_found,0,"no candidate survived filtering"
"Amir Hamza",Spain,not_found,0,"no candidate survived filtering"
"D Doyle-Calle",Spain,not_found,0,"no search results"
"D Long Martinez",Spain,not_found,0,"no candidate survived filtering"
"F O'Neill",Spain,not_found,0,"no candidate survived filtering"
"Farzan Afzal",Spain,not_found,0,"no candidate survived filtering"
"J Trembeath-Moro",Spain,not_found,0,"no search results"
"Muhammad Babar",Spain,not_found,0,"no candidate survived filtering"
"Muhammad Yasin",Spain,not_found,0,"no candidate survived filtering"
"Raja Adeel",Spain,not_found,0,"no candidate survived filtering"
"SJ Hughes-Pinan",Spain,not_found,0,"no candidate survived filtering"
"DS Thilakaratne","Sri Lanka",not_found,0,"no search results"
"I Wijesundera","Sri Lanka",not_found,0,"no candidate survived filtering"
"LU Igalagamage","Sri Lanka",not_found,0,"no search results"
"M Muralitharan","Sri Lanka",not_found,0,"no candidate survived filtering"
"MA Aponso","Sri Lanka",not_found,0,"no candidate survived filtering"
"PM Liyanagamage","Sri Lanka",not_found,0,"no search results"
"CR Richards","St Helena",not_found,0,"no candidate survived filtering"
"J Henry","St Helena",not_found,0,"no candidate survived filtering"
"AAH Bhikari",Suriname,not_found,0,"no search results"
"G Singh",Suriname,not_found,0,"no candidate survived filtering"
"RJ Ramjiawan",Suriname,not_found,0,"no search results"
"C Forbes",Swaziland,not_found,0,"no candidate survived filtering"
"J Ghadiyali",Swaziland,not_found,0,"no candidate survived filtering"
"J Hansrod",Swaziland,not_found,0,"no candidate survived filtering"
"JF Chester",Swaziland,not_found,0,"no candidate survived filtering"
"JJ Wright",Swaziland,not_found,0,"no candidate survived filtering"
"L Zulu",Swaziland,not_found,0,"no candidate survived filtering"
"M Jele",Swaziland,not_found,0,"no candidate survived filtering"
"M Magagula",Swaziland,not_found,0,"no candidate survived filtering"
"Muhammad Amin",Swaziland,not_found,0,"no candidate survived filtering"
"N Magagula",Swaziland,not_found,0,"no candidate survived filtering"
"Naeem Gull",Swaziland,not_found,0,"no candidate survived filtering"
"S Kubheka",Swaziland,not_found,0,"no candidate survived filtering"
"Shehzad Patel",Swaziland,not_found,0,"no candidate survived filtering"
"Umair Qasim",Swaziland,not_found,0,"no candidate survived filtering"
"Abdur Rahman Sudais",Sweden,not_found,0,"no search results"
"Baz Aybui",Sweden,not_found,0,"no search results"
"Hassan Mehmood",Sweden,not_found,0,"no candidate survived filtering"
"Samiallah Khalil",Sweden,not_found,0,"no candidate survived filtering"
"Samiullah Rahmani",Sweden,not_found,0,"no candidate survived filtering"
"Umar Nawaz",Sweden,not_found,0,"no candidate survived filtering"
"Khalid Niazi",Switzerland,not_found,0,"no candidate survived filtering"
"M Martin",Switzerland,not_found,0,"no candidate survived filtering"
"NK Aneesh Kumar",Switzerland,not_found,0,"no candidate survived filtering"
"Numan Ahmadzai",Switzerland,not_found,0,"no candidate survived filtering"
"Qateel Zabiullah",Switzerland,not_found,0,"no candidate survived filtering"
"Sheraz Sirwari",Switzerland,not_found,0,"no candidate survived filtering"
"J Masquater",Tanzania,not_found,0,"no search results"
"LS Barkania",Tanzania,not_found,0,"no search results"
"M Yunusu Issa",Tanzania,not_found,0,"no search results"
"MS Maker",Tanzania,not_found,0,"no candidate survived filtering"
"Sefu Athumani",Tanzania,not_found,0,"no candidate survived filtering"
"Shaik Basha",Tanzania,not_found,0,"no candidate survived filtering"
"ZR Jaboneke",Tanzania,not_found,0,"no search results"
"AP Yadav",Thailand,not_found,0,"no candidate survived filtering"
"AV Lazarus",Thailand,not_found,0,"no candidate survived filtering"
"MK Thakur",Thailand,not_found,0,"no candidate survived filtering"
"D Mutu",Turkey,not_found,0,"no candidate survived filtering"
"R Nath",Turkey,not_found,0,"no candidate survived filtering"
"E Henry","Turks and Caicos Island",not_found,0,"no candidate survived filtering"
"K Jack","Turks and Caicos Island",not_found,0,"no candidate survived filtering"
"M Smith","Turks and Caicos Island",not_found,0,"no candidate survived filtering"
"R Johnson","Turks and Caicos Island",not_found,0,"no candidate survived filtering"
"Bilal Hassun",Uganda,not_found,0,"no search results"
"J Miyaji",Uganda,not_found,0,"no candidate survived filtering"
"AR Berenger","United Arab Emirates",not_found,0,"no candidate survived filtering"
"Amjad Gul","United Arab Emirates",not_found,0,"no candidate survived filtering"
"EHSN Silva","United Arab Emirates",not_found,0,"no candidate survived filtering"
"Ghulam Shabber","United Arab Emirates",not_found,0,"no candidate survived filtering"
"J Figy John","United Arab Emirates",not_found,0,"no search results"
"KP Meiyappan","United Arab Emirates",not_found,0,"no candidate survived filtering"
"Mohammad Ayaz","United Arab Emirates",not_found,0,"no candidate survived filtering"
"SS Kang","United Arab Emirates",not_found,0,"no candidate survived filtering"
"Shoaib Khan","United Arab Emirates",not_found,0,"no candidate survived filtering"
"Waseem Muhammad","United Arab Emirates",not_found,0,"no candidate survived filtering"
"Zuhaib Zubair","United Arab Emirates",not_found,0,"no candidate survived filtering"
"TP Allen","United States",not_found,0,"no candidate survived filtering"
"VM Vaghela","United States",not_found,0,"no candidate survived filtering"
"B Akhilesh Reddy","United States of America",not_found,0,"no candidate survived filtering"
"KRP Silva","United States of America",not_found,0,"no candidate survived filtering"
"RM Scott","United States of America",not_found,0,"no candidate survived filtering"
"TK Patel","United States of America",not_found,0,"no candidate survived filtering"
"JF Jeremiah",Vanuatu,not_found,0,"no candidate survived filtering"
"K Tari",Vanuatu,not_found,0,"no candidate survived filtering"
"R Tari",Vanuatu,not_found,0,"no candidate survived filtering"
"TL Cutler",Vanuatu,not_found,0,"no candidate survived filtering"
"D Matthews","West Indies",not_found,0,"no candidate survived filtering"
"I Ganness","West Indies",not_found,0,"no candidate survived filtering"
"JM James","West Indies",not_found,0,"no candidate survived filtering"
"JPR Scantlebury-Searles","West Indies",not_found,0,"no search results"
"K Mungroo","West Indies",not_found,0,"no candidate survived filtering"
"M Matthew","West Indies",not_found,0,"no candidate survived filtering"
"O Thomas","West Indies",not_found,0,"no candidate survived filtering"
"RS Morton","West Indies",not_found,0,"no candidate survived filtering"
"Aslam Bera",Zambia,not_found,0,"no candidate survived filtering"
"Ayaz Dadabhai",Zambia,not_found,0,"no candidate survived filtering"
"Benson Chama",Zambia,not_found,0,"no candidate survived filtering"
"JV Chand",Zambia,not_found,0,"no candidate survived filtering"
"Jakir Patel",Zambia,not_found,0,"no candidate survived filtering"
"Mohmedazim Abbasbhai",Zambia,not_found,0,"no search results"
"Salman Patel",Zambia,not_found,0,"no candidate survived filtering"
"Shahnawaz Patel",Zambia,not_found,0,"no candidate survived filtering"
"D Jakiel",Zimbabwe,not_found,0,"no candidate survived filtering"
"M Faraz Akram",Zimbabwe,not_found,0,"no candidate survived filtering"
